timestamp,radar_v3_state,radar_v3_heart_detection,radar_v3_heart,radar_v3_breath,radar_v3_sp02,radar_v3_drop,radar_v3_radar_rssi
2025-05-19 09:00:00,3,1,66,24,96,0,1178529
2025-05-19 09:00:10,3,1,66,24,96,0,1178529
2025-05-19 09:00:20,3,1,66,24,96,0,1178529
2025-05-19 09:00:30,3,1,66,24,96,0,1178529
2025-05-19 09:00:40,3,1,66,24,96,0,1178529
2025-05-19 09:00:50,3,1,66,24,96,0,1178529
2025-05-19 09:01:00,3,1,66,24,96,0,1178529
2025-05-19 09:01:10,3,1,66,24,96,0,1178529
2025-05-19 09:01:20,3,1,66,24,96,0,1178529
2025-05-19 09:01:30,3,1,66,24,96,0,1178529
2025-05-19 09:01:40,3,1,66,24,96,0,1178529
2025-05-19 09:01:50,3,1,66,24,96,0,1178529
2025-05-19 09:02:00,3,1,66,24,96,0,1178529
2025-05-19 09:02:10,3,1,66,24,96,0,1178529
2025-05-19 09:02:20,3,1,66,24,96,0,1178529
2025-05-19 09:02:30,3,1,66,24,96,0,1178529
2025-05-19 09:02:40,3,1,66,24,96,0,1178529
2025-05-19 09:02:50,3,1,66,24,96,0,1178529
2025-05-19 09:03:00,3,1,66,24,96,0,1178529
2025-05-19 09:03:10,3,1,66,24,96,0,1178529
2025-05-19 09:03:20,3,1,66,24,96,0,1178529
2025-05-19 09:03:30,3,1,66,24,96,0,1178529
2025-05-19 09:03:40,3,0,0,0,0,0,96315
2025-05-19 09:03:50,3,0,0,0,0,0,96315
2025-05-19 09:04:00,3,0,0,0,0,0,1913856
2025-05-19 09:04:10,3,0,0,0,97,0,462745
2025-05-19 09:04:20,3,0,0,0,97,0,462745
2025-05-19 09:04:30,3,0,0,25,98,0,398878
2025-05-19 09:04:40,3,0,0,23,97,0,130014
2025-05-19 09:04:50,3,0,0,23,97,0,130014
2025-05-19 09:05:00,3,1,67,23,97,0,1409350
2025-05-19 09:05:10,3,1,67,26,98,0,1036240
2025-05-19 09:05:20,3,1,67,26,98,0,1036240
2025-05-19 09:05:30,3,1,67,25,98,0,709493
2025-05-19 09:05:40,3,1,67,22,97,0,167118
2025-05-19 09:05:50,3,1,67,22,97,0,167118
2025-05-19 09:06:00,3,1,67,24,96,0,1567974
2025-05-19 09:06:10,3,1,67,25,98,0,1050816
2025-05-19 09:06:20,3,1,67,25,98,0,1050816
2025-05-19 09:06:30,3,1,67,23,98,0,429943
2025-05-19 09:06:40,3,1,67,24,96,0,154346
2025-05-19 09:06:50,3,1,67,24,96,0,154346
2025-05-19 09:07:00,3,1,67,27,97,0,2051024
2025-05-19 09:07:10,3,1,67,29,97,0,978094
2025-05-19 09:07:20,3,1,67,29,97,0,978094
2025-05-19 09:07:30,3,1,67,29,97,0,451730
2025-05-19 09:07:40,3,1,67,28,97,0,49846
2025-05-19 09:07:50,3,1,67,28,97,0,49846
2025-05-19 09:08:00,3,1,68,28,95,0,2443723
2025-05-19 09:08:10,3,1,68,28,97,0,1696631
2025-05-19 09:08:20,3,1,68,28,97,0,1696631
2025-05-19 09:08:30,3,1,68,29,98,0,676785
2025-05-19 09:08:40,3,1,68,29,98,0,676785
2025-05-19 09:08:50,3,1,68,30,98,0,63516
2025-05-19 09:09:00,3,1,67,29,94,0,1833768
